[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.002170s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002304s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001411s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001485s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006825s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000496s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.008873s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000504s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000290s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002374s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002455s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021287s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021381s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001403s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.001207s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001023s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001278s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005129s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001466s ]
[ 2012-06-11T00:02:00+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001543s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001921s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002049s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007143s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000960s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007617s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000543s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002649s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002748s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.020972s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021063s ]
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:02:17+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.001767s ]
