[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002271s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002405s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001464s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001540s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002296s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002401s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.017872s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017984s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001238s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001239s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001096s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001388s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005229s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001367s ]
[ 2012-06-12T00:01:57+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001444s ]
[ 2012-06-12T00:02:24+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
