[ 2012-06-13T22:46:06+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:46:06+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003736s ]
[ 2012-06-13T22:46:06+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.017100s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.114043s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.015009s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.084497s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000796s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.150498s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.150621s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.465434s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.465545s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.022164s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.022503s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.017971s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003618s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.066568s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002150s ]
[ 2012-06-13T22:46:07+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002247s ]
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Run CheckRoute Behavior [ RunTime:0.062247s ]
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.062458s ]
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002882s ]
[ 2012-06-13T22:46:14+08:00 ] /me/about/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003015s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001943s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002080s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001349s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001428s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.033241s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.033359s ]
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:46:18+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.201348s ]
