[ 2012-08-21T22:22:12+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:22:12+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.055322s ]
[ 2012-08-21T22:22:12+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.075329s ]
[ 2012-08-21T22:22:19+08:00 ] / | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:1.461870s ]
[ 2012-08-21T22:22:19+08:00 ] / | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.076716s ]
[ 2012-08-21T22:22:19+08:00 ] / | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.173478s ]
[ 2012-08-21T22:22:19+08:00 ] / | NOTIC: [8] Undefined index: id HomeAction.class.php 第 14 行.
[ 2012-08-21T22:22:19+08:00 ] / | NOTIC: [8] Undefined variable: data HomeAction.class.php 第 17 行.
[ 2012-08-21T22:22:19+08:00 ] / | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000762s ]
[ 2012-08-21T22:22:19+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:22:19+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.279538s ]
[ 2012-08-21T22:22:19+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.279661s ]
[ 2012-08-21T22:22:19+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:1.267598s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:1.267724s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.057430s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.057956s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.031087s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.015870s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.162920s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.016605s ]
[ 2012-08-21T22:22:21+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.016818s ]
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.031047s ]
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.031202s ]
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002525s ]
[ 2012-08-21T22:22:28+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002617s ]
[ 2012-08-21T22:22:33+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:22:33+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003147s ]
[ 2012-08-21T22:22:33+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003301s ]
[ 2012-08-21T22:22:33+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
