[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.002996s ]
[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.034564s ]
[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002550s ]
[ 2012-08-28T20:12:00+08:00 ] /announce?info_hash=%84%A8%3FZ%B2%DA%21%D3%99%A4%A6%0C%40p%8F%9Bc%92%03%89&peer_id=%2DXL0012%2DBhg%A4%E6m%85%07%60%EF%FD4&ip=192.168.226.1&port=14634&uploaded=40894464&downloaded=40894464&left=394788881&numwant=200&key=6457&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002641s ]
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.001695s ]
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.001848s ]
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001208s ]
[ 2012-08-28T20:12:03+08:00 ] /announce?info_hash=%29%0E%9E%0BV%5E%EC%83TY%22%9Dv%89b%9D%D5W%15%BC&peer_id=%2DXL0012%2D%7D%2D%DA9%60%E5Nx%2B%DF%19%1B&ip=192.168.226.1&port=14634&uploaded=1163&downloaded=1163&left=362986233&numwant=200&key=27381&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001284s ]
