[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run CheckRoute Behavior [ RunTime:0.004923s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005068s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002379s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002473s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005601s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000799s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004294s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004396s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.029405s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029521s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.002689s ]
[ 2012-08-31T00:00:11+08:00 ] /me/admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.002265s ]
